,Длительность перехода из Электросварочный стан в Буфер_plan,Длительность перехода из Электросравочный стан в Буфер_fact,Длительность перехода из Буфера на Кромкообрабатывающие станки_plan,Длительность перехода из Буфера на Кромкообрабатывающие станки_fact,Длительность перехода из Кромкообрабатывающие станки в Буфер.1_plan,Длительность перехода из Кромкообрабатывающие станки в Буфер.1_fact,Длительность перехода из Буфер.1 на Термообработку_plan,Длительность перехода из Буфер.1 на Термообработку_fact,Длительность перехода из Термообработка в Буфер.2_plan,Длительность перехода из Термообработка в Буфер.2_fact,Длительность перехода из Буфер.2 на Испытания_plan,Длительность перехода из Буфер.2 на Испытания_fact,Длительность перехода из Испытания на Склад готовой продукции_plan,Длительность перехода из Испытания на Склад готовой продукции_fact
,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum
Номер заказа,,,,,,,,,,,,,,
475,2 days 09:36:00,5 days 15:28:00,0 days 00:23:02.400000,0 days 04:43:00,0 days 12:00:00,0 days 12:03:00,0 days 02:52:48,0 days 14:00:00,0 days 16:19:12,0 days 16:00:00,0 days 00:23:02.400000,0 days 20:56:00,0 days 07:40:48,0 days 10:59:00
480,10 days 04:48:00,14 days 19:01:00,0 days 01:37:55.200000,0 days 21:49:00,2 days 03:00:00,3 days 04:53:00,0 days 12:14:24,8 days 01:59:00,2 days 21:21:36,5 days 12:21:00,0 days 01:37:55.200000,1 days 16:29:00,1 days 08:38:24,1 days 10:02:00
481,3 days 14:24:00,4 days 15:14:00,0 days 00:34:33.600000,3 days 11:09:00,0 days 18:00:00,1 days 17:43:00,0 days 04:19:12,0 days 09:28:00,1 days 00:28:48,1 days 22:52:00,0 days 00:34:33.600000,0 days 03:59:00,0 days 11:31:12,1 days 20:10:00
482,23 days 02:24:00,35 days 11:22:00,0 days 03:41:45.600000,10 days 17:22:00,4 days 19:30:00,9 days 16:17:00,1 days 03:43:12,4 days 02:49:00,6 days 13:04:48,15 days 21:33:00,0 days 03:41:45.600000,5 days 02:42:00,3 days 01:55:12,3 days 04:57:00
489,16 days 12:00:00,26 days 06:35:00,0 days 02:38:24,6 days 03:06:00,3 days 10:30:00,4 days 13:03:00,0 days 19:48:00,6 days 03:48:00,4 days 16:12:00,9 days 09:49:00,0 days 02:38:24,0 days 17:38:00,2 days 04:48:00,6 days 22:01:00
490,3 days 07:12:00,5 days 06:07:00,0 days 00:31:40.800000,1 days 16:55:00,0 days 16:30:00,0 days 20:06:00,0 days 03:57:36,1 days 09:44:00,0 days 22:26:24,1 days 08:12:00,0 days 00:31:40.800000,0 days 19:14:00,0 days 10:33:36,1 days 03:49:00
491,19 days 12:00:00,30 days 04:51:00,0 days 03:07:12,0 days 18:11:00,4 days 01:30:00,16 days 03:46:00,0 days 23:24:00,2 days 17:17:00,5 days 12:36:00,13 days 04:22:00,0 days 03:07:12,4 days 07:37:00,2 days 14:24:00,6 days 08:14:00
492,17 days 16:48:00,27 days 00:37:00,0 days 02:49:55.200000,7 days 15:37:00,3 days 16:30:00,7 days 20:44:00,0 days 21:14:24,6 days 07:13:00,5 days 00:21:36,6 days 02:46:00,0 days 02:49:55.200000,6 days 00:22:00,2 days 08:38:24,2 days 11:16:00
493,15 days 14:24:00,23 days 15:15:00,0 days 02:29:45.600000,3 days 15:07:00,3 days 06:00:00,8 days 01:16:00,0 days 18:43:12,9 days 21:37:00,4 days 10:04:48,8 days 14:47:00,0 days 02:29:45.600000,3 days 00:21:00,2 days 01:55:12,2 days 12:35:00
494,24 days 00:00:00,40 days 12:13:00,0 days 03:50:24,13 days 11:22:00,5 days 00:00:00,10 days 15:41:00,1 days 04:48:00,14 days 07:10:00,6 days 19:12:00,12 days 11:22:00,0 days 03:50:24,3 days 23:47:00,3 days 04:48:00,7 days 20:41:00
495,24 days 00:00:00,46 days 09:53:00,0 days 03:50:24,16 days 19:30:00,5 days 00:00:00,6 days 12:08:00,1 days 04:48:00,8 days 22:21:00,6 days 19:12:00,10 days 10:34:00,0 days 03:50:24,4 days 03:23:00,3 days 04:48:00,3 days 21:56:00
496,24 days 00:00:00,52 days 23:30:00,0 days 03:50:24,6 days 07:29:00,5 days 00:00:00,5 days 10:08:00,1 days 04:48:00,11 days 13:42:00,6 days 19:12:00,9 days 17:51:00,0 days 03:50:24,1 days 08:16:00,3 days 04:48:00,8 days 16:25:00
497,24 days 00:00:00,50 days 12:21:00,0 days 03:50:24,4 days 02:59:00,5 days 00:00:00,5 days 03:43:00,1 days 04:48:00,8 days 07:24:00,6 days 19:12:00,12 days 04:13:00,0 days 03:50:24,0 days 17:38:00,3 days 04:48:00,8 days 06:40:00
498,6 days 07:12:00,11 days 05:28:00,0 days 01:00:28.800000,0 days 17:10:00,1 days 07:30:00,2 days 02:10:00,0 days 07:33:36,2 days 03:03:00,1 days 18:50:24,3 days 18:50:00,0 days 01:00:28.800000,0 days 15:36:00,0 days 20:09:36,1 days 13:33:00
